Ejari Contract Number,Registration Date,Start Date,End Date,Version,Area,Contract Amount,Annual Amount,Is Free Hold?,Property Size (sq.m),Property Type,Property Sub Type,Number of Rooms,Usage,Nearest Metro,Nearest Mall,Nearest Landmark,Parking,No of Units,Master Project,Project
"0120230923005346","2023-09-23 11:02:32","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Jumeirah First","20000","20000","Non Free Hold","45","Unit","Flat","","Residential","Trade Centre Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120230923005348","2023-09-23 11:04:07","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Eyal Nasser","25000","25000","Non Free Hold","18.57","Unit","Flat","","Residential","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005352","2023-09-23 11:04:54","2023-09-01 00:00:00","2024-08-31 00:00:00","New","Al Warqa First","50000","50000","Non Free Hold","119.1","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120230923005354","2023-09-23 11:05:17","2023-11-01 00:00:00","2024-10-31 00:00:00","New","Al Suq Al Kabeer","38000","38000","Non Free Hold","48.5","Unit","Flat","","Residential","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120230923005355","2023-09-23 11:05:17","2023-09-20 00:00:00","2025-10-19 00:00:00","New","Al Kheeran","300000","150000","Free Hold","91.17","Unit","Shop","","Commercial","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120230923005356","2023-09-23 11:06:11","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Nad Al Hamar","32000","32000","Free Hold","44.97","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120230923005357","2023-09-23 11:06:15","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Al Qusais Second","48700","48700","Non Free Hold","101.73","Unit","Flat","","Residential","Airport Free Zone","City Centre Mirdif","Dubai International Airport","","1","",""
"0120230923005361","2023-09-23 11:07:13","2023-09-01 00:00:00","2024-08-31 00:00:00","New","Al Qusais First","28000","28000","Non Free Hold","450","Unit","Flat","","Residential","Airport Free Zone","City Centre Mirdif","Dubai International Airport","","1","",""
"0120230923005363","2023-09-23 11:07:46","2023-09-25 00:00:00","2024-09-24 00:00:00","New","Naif","24500","24500","Non Free Hold","26.29","Unit","Flat","","Residential","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005367","2023-09-23 11:09:25","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Mirdif","120000","120000","Free Hold","44.38","Unit","Shop","","Commercial","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","","MIRDIF TULIP"
"0120230923005367","2023-09-23 11:09:25","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Mirdif","120000","120000","Free Hold","44.38","Unit","Shop","","Commercial","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","","MIRDIF TULIP"
"0120230923005367","2023-09-23 11:09:25","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Mirdif","120000","120000","Free Hold","44.38","Unit","Shop","","Commercial","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","","FREEJ MARDIF"
"0120230923005370","2023-09-23 11:10:54","2023-12-01 00:00:00","2024-11-30 00:00:00","New","Jabal Ali Industrial First","33000","33000","Non Free Hold","75.86","Unit","Flat","","Residential","UAE Exchange Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","","1","",""
"0120230923005374","2023-09-23 11:12:45","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Business Bay","135000","135000","Non Free Hold","170.85","Unit","Flat","","Residential","","","","","1","",""
"0120230923005387","2023-09-23 11:18:16","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Eyal Nasser","45000","45000","Non Free Hold","55","Unit","Flat","","Residential","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005392","2023-09-23 11:21:54","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Al Hebiah Fourth","49000","49000","Free Hold","85.6","Unit","Flat","","Residential","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","","1","","CANAL RESIDENCE WEST (PHASE 1)"
"0120230923005396","2023-09-23 11:23:39","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Abu Hail","20000","20000","Non Free Hold","23","Unit","Office","","Commercial","Abu Baker Al Siddique Metro Station","","Dubai International Airport","","1","",""
"0120230923005397","2023-09-23 11:23:40","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Al Bada","48000","48000","Non Free Hold","30","Unit","Flat","","Residential","Trade Centre Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120230923005404","2023-09-23 11:25:17","2023-09-07 00:00:00","2024-09-06 00:00:00","New","Al Thanyah Fifth","60000","60000","Free Hold","83.66","Unit","Flat","","Residential","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","","1","",""
"0120230923005409","2023-09-23 11:26:17","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Al Goze Third","17000","17000","Non Free Hold","28","Unit","Office","","Commercial","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","","1","",""
"0120230923005411","2023-09-23 11:26:29","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Al Goze Third","17000","17000","Non Free Hold","20.58","Unit","Office","","Commercial","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","","1","",""
"0120230923005414","2023-09-23 11:27:49","2023-09-01 00:00:00","2026-12-31 00:00:00","New","Al Hudaiba","90000","30000","Non Free Hold","324.97","Unit","Office","","Commercial","Al Jafiliya Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120230923005415","2023-09-23 11:27:55","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Al Mararr","15000","15000","Non Free Hold","21.52","Unit","Office","","Commercial","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005422","2023-09-23 11:29:24","2023-09-25 00:00:00","2024-10-24 00:00:00","New","Al Nahda Second","40000","40000","Non Free Hold","90","Unit","Flat","","Residential","STADIUM Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120230923005423","2023-09-23 11:29:34","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Naif","10000","10000","Non Free Hold","25","Unit","Office","","Commercial","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005426","2023-09-23 11:29:45","2023-09-26 00:00:00","2024-11-25 00:00:00","New","Al Muteena","46000","46000","Non Free Hold","69.12","Unit","Flat","","Residential","Abu Baker Al Siddique Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005433","2023-09-23 11:31:11","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Eyal Nasser","27000","27000","Non Free Hold","20.7","Unit","Flat","","Residential","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005438","2023-09-23 11:31:43","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Nadd Hessa","72500","72500","Free Hold","98.13","Unit","Office","","Commercial","","","IMG World Adventures","","1","","SILICON INFORMATION TECHNOLOGY TOWER"
"0120230923005443","2023-09-23 11:32:20","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Al Mararr","15000","15000","Non Free Hold","21.31","Unit","Office","","Commercial","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005454","2023-09-23 11:36:35","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Al Mararr","15000","15000","Non Free Hold","20.47","Unit","Office","","Commercial","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005461","2023-09-23 11:39:41","2023-07-15 00:00:00","2027-01-14 00:00:00","New","Al Ras","1239399","413133","Non Free Hold","54.83","Unit","Shop","","Commercial","Al Ras Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005470","2023-09-23 11:42:19","2023-07-01 00:00:00","2024-06-30 00:00:00","New","Al Warsan First","33000","33000","Free Hold","67","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120230923005478","2023-09-23 11:44:58","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Warsan Fourth","45000","45000","Free Hold","80.89","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120230923005481","2023-09-23 11:45:04","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Al Goze Third","17000","17000","Non Free Hold","28","Unit","Office","","Commercial","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","","1","",""
"0120230923005482","2023-09-23 11:45:29","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Al Satwa","65000","65000","Free Hold","55.2","Unit","Flat","","Residential","Emirates Towers Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120230923005489","2023-09-23 11:46:03","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Al Bada","45000","45000","Non Free Hold","103.09","Unit","Flat","","Residential","Trade Centre Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120230923005490","2023-09-23 11:46:05","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Naif","10000","10000","Non Free Hold","25","Unit","Office","","Commercial","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005502","2023-09-23 11:47:24","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Al Qusais First","50000","50000","Non Free Hold","76.18","Unit","Flat","","Residential","Al Nahda Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120230923005513","2023-09-23 11:49:29","2023-09-25 00:00:00","2024-09-24 00:00:00","New","Me'Aisem First","55000","55000","Free Hold","90.82","Unit","Flat","","Residential","Damac Properties","Marina Mall","Sports City Swimming Academy","","1","","CENTRIUM TOWER"
"0120230923005517","2023-09-23 11:51:21","2023-09-23 00:00:00","2024-12-22 00:00:00","New","Nad Al Shiba First","60000","60000","Free Hold","40.87","Unit","Shop","","Commercial","Business Bay Metro Station","Dubai Mall","Downtown Dubai","","1","","THE DERBY RESIDENCE 2&3"
"0120230923005518","2023-09-23 11:51:48","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Abu Hail","20000","20000","Non Free Hold","25","Unit","Office","","Commercial","Abu Baker Al Siddique Metro Station","","Dubai International Airport","","1","",""
"0120230923005527","2023-09-23 11:53:05","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Naif","10000","10000","Non Free Hold","25","Unit","Office","","Commercial","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005535","2023-09-23 11:54:49","2023-09-25 00:00:00","2024-09-24 00:00:00","New","Madinat Al Mataar","72000","72000","Free Hold","83.39","Unit","Flat","","Residential","","","Expo 2020 Site","","1","","TOWN CENTRAL"
"0120230923005535","2023-09-23 11:54:49","2023-09-25 00:00:00","2024-09-24 00:00:00","New","Madinat Al Mataar","72000","72000","Free Hold","83.39","Unit","Flat","","Residential","","","Expo 2020 Site","","1","","CELESTIA"
"0120230923005539","2023-09-23 11:56:52","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Al Muteena","23000","23000","Non Free Hold","46.45","Unit","Flat","","Residential","Abu Baker Al Siddique Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005541","2023-09-23 11:56:56","2023-09-01 00:00:00","2024-08-31 00:00:00","New","Port Saeed","82000","82000","Non Free Hold","108","Unit","Flat","","Residential","Deira City Centre","City Centre Mirdif","Dubai International Airport","","1","",""
"0120230923005542","2023-09-23 11:56:57","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Naif","10000","10000","Non Free Hold","25","Unit","Office","","Commercial","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005543","2023-09-23 11:56:58","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Dubai Investment Park First","20000","20000","Free Hold","10","Virtual Unit","Office","","Commercial","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","","1","",""
"0120230923005554","2023-09-23 11:59:38","2023-09-20 00:00:00","2024-09-19 00:00:00","New","Al Hebiah Fourth","160000","160000","Free Hold","141.16","Villa","Villa","3","Residential","","","","","1","",""
"0120230923005557","2023-09-23 12:00:51","2023-10-27 00:00:00","2024-10-26 00:00:00","New","Al Suq Al Kabeer","27000","27000","Non Free Hold","12.17","Unit","Flat","","Residential","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120230923005558","2023-09-23 12:00:55","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Naif","10000","10000","Non Free Hold","25","Unit","Office","","Commercial","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005560","2023-09-23 12:01:54","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Al Goze Third","17000","17000","Non Free Hold","25","Unit","Office","","Commercial","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","","1","",""
"0120230923005562","2023-09-23 12:02:03","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Business Bay","65000","65000","Free Hold","39.6","Unit","Hotel","","Commercial","Business Bay Metro Station","Dubai Mall","Downtown Dubai","","1","","BAY'S EDGE"
"0120230923005575","2023-09-23 12:06:58","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Al Barshaa South Third","68000","68000","Free Hold","91.89","Unit","Flat","","Residential","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","","1","",""
"0120230923005577","2023-09-23 12:07:12","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Al Goze Third","17000","17000","Non Free Hold","21.23","Unit","Office","","Commercial","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","","1","",""
"0120230923005587","2023-09-23 12:08:05","2023-09-27 00:00:00","2024-09-26 00:00:00","New","Al Warsan First","65000","65000","Free Hold","67","Unit","Shop","","Commercial","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120230923005593","2023-09-23 12:08:55","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Muhaisanah Fourth","30000","30000","Non Free Hold","10","Unit","Flat","","Residential","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120230923005595","2023-09-23 12:09:28","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Al Goze Third","17000","17000","Non Free Hold","26","Unit","Office","","Commercial","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","","1","",""
"0120230923005607","2023-09-23 12:10:50","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Al Mararr","15000","15000","Non Free Hold","20.47","Unit","Office","","Commercial","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005615","2023-09-23 12:11:25","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Jabal Ali First","42000","42000","Free Hold","10","Virtual Unit","Office","","Commercial","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","","1","",""
"0120230923005617","2023-09-23 12:11:39","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Jabal Ali First","36000","36000","Free Hold","45","Unit","Flat","","Residential","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","","1","",""
"0120230923005629","2023-09-23 12:13:03","2023-08-20 00:00:00","2024-08-19 00:00:00","New","Al Mararr","47500","47500","Non Free Hold","81.75","Unit","Office","","Commercial","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005643","2023-09-23 12:16:34","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Wadi Al Safa 2","42000","42000","Free Hold","74.96","Unit","Flat","","Residential","","","IMG World Adventures","","1","","QPOINT LIWAN-PLOT R098"
"0120230923005660","2023-09-23 12:18:50","2023-09-20 00:00:00","2024-09-19 00:00:00","New","Business Bay","28000","28000","Free Hold","10","Virtual Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","1","","CRYSTAL TOWER"
"0120230923005663","2023-09-23 12:19:23","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Business Bay","60000","60000","Free Hold","44.57","Unit","Flat","","Residential","Business Bay Metro Station","Dubai Mall","Downtown Dubai","","1","","ELITE BUSINESS BAY RESIDENCE"
"0120230923005680","2023-09-23 12:26:24","2023-09-23 00:00:00","2024-09-30 00:00:00","New","Al Lusaily","24000","23933.52","Non Free Hold","25.08","Unit","Flat","","Residential","","","","","1","",""
"0120230923005681","2023-09-23 12:26:34","2024-01-01 00:00:00","2024-12-31 00:00:00","New","Al Rashidiya","80000","80000","Non Free Hold","0","Villa","Villa","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","0","1","",""
"0120230923005683","2023-09-23 12:26:56","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Naif","28000","28000","Non Free Hold","30.01","Unit","Flat","","Residential","Union Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005694","2023-09-23 12:27:58","2023-09-20 00:00:00","2024-09-19 00:00:00","New","Madinat Al Mataar","45000","45000","Free Hold","41.39","Unit","Flat","","Residential","","","Expo 2020 Site","","1","","CELESTIA"
"0120230923005694","2023-09-23 12:27:58","2023-09-20 00:00:00","2024-09-19 00:00:00","New","Madinat Al Mataar","45000","45000","Free Hold","41.39","Unit","Flat","","Residential","","","Expo 2020 Site","","1","","TOWN CENTRAL"
"0120230923005697","2023-09-23 12:28:07","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Eyal Nasser","105000","105000","Non Free Hold","12","Unit","Shop","","Commercial","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","","2","",""
"0120230923005697","2023-09-23 12:28:07","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Eyal Nasser","105000","105000","Non Free Hold","12","Unit","Shop","","Commercial","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","","2","",""
"0120230923005700","2023-09-23 12:28:31","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Abu Hail","20000","20000","Non Free Hold","23","Unit","Office","","Commercial","Abu Baker Al Siddique Metro Station","","Dubai International Airport","","1","",""
"0120230923005713","2023-09-23 12:29:45","2023-10-09 00:00:00","2024-10-08 00:00:00","New","Al Barsha First","65000","65000","Non Free Hold","0","Unit","Flat","","Residential","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","","1","",""
"0120230923005714","2023-09-23 12:30:23","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Naif","10000","10000","Non Free Hold","25","Unit","Office","","Commercial","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005738","2023-09-23 12:32:36","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Abu Hail","20000","20000","Non Free Hold","50","Unit","Shop","","Commercial","Abu Baker Al Siddique Metro Station","","Dubai International Airport","","1","",""
"0120230923005751","2023-09-23 12:34:45","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Warsan Fourth","45000","45000","Free Hold","71.23","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120230923005755","2023-09-23 12:35:39","2023-09-26 00:00:00","2024-10-25 00:00:00","New","Muhaisanah Fourth","32000","32000","Non Free Hold","56","Unit","Flat","","Residential","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120230923005759","2023-09-23 12:36:14","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Al Goze Third","17000","17000","Non Free Hold","22","Unit","Office","","Commercial","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","","1","",""
"0120230923005760","2023-09-23 12:36:26","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Abu Hail","20000","20000","Non Free Hold","23","Unit","Office","","Commercial","Abu Baker Al Siddique Metro Station","","Dubai International Airport","","1","",""
"0120230923005769","2023-09-23 12:39:06","2023-09-25 00:00:00","2024-09-24 00:00:00","New","Warsan Fourth","44000","44000","Free Hold","79.21","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120230923005774","2023-09-23 12:40:07","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Abu Hail","20000","20000","Non Free Hold","50","Unit","Shop","","Commercial","Abu Baker Al Siddique Metro Station","","Dubai International Airport","","1","",""
"0120230923005775","2023-09-23 12:40:17","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Al Mararr","15000","15000","Non Free Hold","21.31","Unit","Office","","Commercial","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005784","2023-09-23 12:44:16","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Al Mararr","22000","22000","Non Free Hold","22","Unit","Office","","Commercial","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005785","2023-09-23 12:44:32","2023-05-25 00:00:00","2024-05-24 00:00:00","New","Al Warsan First","19000","19000","Free Hold","43.9","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120230923005790","2023-09-23 12:47:05","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Saih Shuaib 2","22000","22000","Non Free Hold","22","Unit","Office","","Commercial","","","Al Makhtoum International Airport","","1","",""
"0120230923005791","2023-09-23 12:47:05","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Al Baraha","24000","24000","Non Free Hold","40","Unit","Flat","","Residential","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005795","2023-09-23 12:50:08","2023-09-10 00:00:00","2024-09-09 00:00:00","New","Muhaisanah Fourth","39000","39000","Non Free Hold","68.37","Unit","Flat","","Residential","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120230923005797","2023-09-23 12:50:11","2023-10-01 00:00:00","2024-10-30 00:00:00","New","Al Warsan First","27500","27500","Free Hold","45","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120230923005803","2023-09-23 12:52:35","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Abu Hail","20000","20000","Non Free Hold","30","Unit","Office","","Commercial","Abu Baker Al Siddique Metro Station","","Dubai International Airport","","1","",""
"0120230923005806","2023-09-23 12:53:58","2023-10-15 00:00:00","2024-10-14 00:00:00","New","Burj Khalifa","155000","155000","Free Hold","69.95","Unit","Flat","","Residential","Business Bay Metro Station","Dubai Mall","Downtown Dubai","","1","","VIDA RESIDENCE DOWNTOWN DUBAI"
"0120230923005809","2023-09-23 12:55:04","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Al Mararr","22000","22000","Non Free Hold","22","Unit","Office","","Commercial","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005810","2023-09-23 12:55:12","2023-09-25 00:00:00","2024-09-24 00:00:00","New","Warsan Fourth","30000","30000","Free Hold","38.85","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120230923005813","2023-09-23 12:56:13","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Madinat Hind 4","29000","29000","Free Hold","38.83","Unit","Hotel","","Commercial","","","","","1","","DAMAC HILLS (2) - VIRIDIS "
"0120230923005821","2023-09-23 12:58:41","2023-09-24 00:00:00","2024-09-23 00:00:00","New","Wadi Al Safa 5","30000","30000","Free Hold","43.76","Unit","Flat","","Residential","","","IMG World Adventures","","1","",""
"0120230923005824","2023-09-23 12:59:07","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Al Baraha","24000","24000","Non Free Hold","40","Unit","Flat","","Residential","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005825","2023-09-23 13:00:04","2023-09-25 00:00:00","2024-09-24 00:00:00","New","Wadi Al Safa 5","40000","40000","Free Hold","78.29","Unit","Flat","","Residential","","","IMG World Adventures","","1","","SKY COURTS"
"0120230923005831","2023-09-23 13:01:10","2023-09-20 00:00:00","2024-12-31 00:00:00","New","Al Barshaa South Third","60000","50044.84","Free Hold","58.69","Unit","Office","","Commercial","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","","1","","THE LIGHT"
"0120230923005836","2023-09-23 13:03:29","2023-09-27 00:00:00","2024-09-26 00:00:00","New","Jabal Ali First","37000","37000","Free Hold","46","Unit","Flat","","Residential","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","","1","",""
"0120230923005842","2023-09-23 13:06:05","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Al Goze Third","17000","17000","Non Free Hold","28","Unit","Office","","Commercial","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","","1","",""
"0120230923005850","2023-09-23 13:10:22","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Al Baraha","24000","24000","Non Free Hold","40","Unit","Flat","","Residential","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005852","2023-09-23 13:11:17","2023-10-01 00:00:00","2024-09-30 00:00:00","New","Al Thanyah Fifth","84000","84000","Free Hold","131.51","Unit","Flat","","Residential","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","","1","",""
"0120230923005858","2023-09-23 13:13:17","2023-09-25 00:00:00","2024-09-23 00:00:00","New","Al Qusais Industrial Second","55000","55148.25","Non Free Hold","111","Unit","Office","","Commercial","Airport Free Zone","City Centre Mirdif","Dubai International Airport","","1","",""
"0120230923005859","2023-09-23 13:15:04","2023-09-25 00:00:00","2024-09-24 00:00:00","New","Al Warsan First","32000","32000","Free Hold","66.5","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120230923005861","2023-09-23 13:15:44","2023-09-25 00:00:00","2024-09-24 00:00:00","New","Al Suq Al Kabeer","27500","27500","Non Free Hold","21.46","Unit","Office","","Commercial","Al Fahidi Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005863","2023-09-23 13:16:25","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Al Goze Third","17000","17000","Non Free Hold","28","Unit","Office","","Commercial","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","","1","",""
"0120230923005866","2023-09-23 13:17:40","2023-10-01 00:00:00","2024-10-09 00:00:00","New","Al Muteena","75000","75000","Non Free Hold","93.92","Unit","Flat","","Residential","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120230923005870","2023-09-23 13:18:06","2023-09-26 00:00:00","2024-09-25 00:00:00","New","Palm Jumeirah","350000","350000","Free Hold","183.11","Unit","Flat","","Residential","Mina Seyahi","Marina Mall","Burj Al Arab","","1","",""
"0120230923005880","2023-09-23 13:20:52","2023-09-20 00:00:00","2024-09-19 00:00:00","New","Al Warsan First","58000","58000","Free Hold","86.65","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","","Lawnz Residence by Danube "
"0120230923005880","2023-09-23 13:20:52","2023-09-20 00:00:00","2024-09-19 00:00:00","New","Al Warsan First","58000","58000","Free Hold","86.65","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120230923005892","2023-09-23 13:25:16","2023-09-23 00:00:00","2024-09-22 00:00:00","New","Al Goze Third","17000","17000","Non Free Hold","28","Unit","Office","","Commercial","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","","1","",""
"0120230923005896","2023-09-23 13:26:09","2023-06-26 00:00:00","2024-06-25 00:00:00","New","Business Bay","48400","48400","Free Hold","48.16","Unit","Flat","","Residential","Business Bay Metro Station","Dubai Mall","Downtown Dubai","","1","","SOL BAY "
"0120230923005905","2023-09-23 13:29:16","2023-08-20 00:00:00","2024-08-19 00:00:00","New","Um Ramool","185000","185000","Non Free Hold","216.2","Unit","Store","","Commercial","Emirates Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
