title ,worldwide gross (m),% budget recovered,X times budget recovered,budget  (millions),domestic gross (m),domestic %,international gross (m),% of gross from international,worldwide gross,year,decade,source,budget source,force label,horror
Madagascar 3: Europe's Most Wanted,747,515%,5.2,145,216,29.0%,531,71.0%,746921274,2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=317,https://en.wikipedia.org/wiki/Madagascar_3:_Europe%27s_Most_Wanted,,not horror
Madagascar: Escape 2 Africa,604,403%,4,150,180,29.8%,424,70.2%,603900354,2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=374,"https://en.wikipedia.org/wiki/Madagascar:_Escape_2_Africa#:~:text=Released%20on%20November%207%2C%202008,died%20before%20the%20film's%20release.",,not horror
Magic Mike,167,2389%,23.9,7,113.7,68.0%,53.5,32.0%,167221571,2012,2010's,,,,not horror
Maleficent,758,421%,4.2,180,241,31.8%,517,68.2%,758411779,2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=313,"https://en.wikipedia.org/wiki/Maleficent_(film)#:~:text=COVID%2D19%20pandemic.-,Box%20office,a%20budget%20of%20%24180%20million.",,not horror
Maleficent: Mistress of Evil,492,266%,2.7,185,114,23.2%,378,76.8%,491730089,2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=434,"https://en.wikipedia.org/wiki/Maleficent_(film)#:~:text=COVID%2D19%20pandemic.-,Box%20office,a%20budget%20of%20%24180%20million.",,not horror
Mamma Mia!,611,1175%,11.8,52,144,23.6%,467,76.4%,611257819,2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=371,"https://en.wikipedia.org/wiki/Mamma_Mia!_(film)#:~:text=The%20film%20grossed%20%24611%20million,highest%2Dgrossing%20film%20of%202008.",,not horror
Mamma Mia! Here We Go Again,402,536%,5.4,75,121,30.0%,282,70.0%,402264843,2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=529,https://en.wikipedia.org/wiki/Mamma_Mia!_Here_We_Go_Again,,not horror
Man of Steel,668,297%,3,225,291,43.6%,377,56.4%,668045518,2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=344,https://en.wikipedia.org/wiki/Man_of_Steel_(film),,not horror
Mary Poppins Returns,350,269%,2.7,130,172,49.2%,178,50.8%,349546142,2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=624,https://www.imdb.com/title/tt5028340/,,not horror
Maze Runner: The Scorch Trials,312,512%,5.1,61,82,26.2%,231,73.8%,312296056,2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=692,"https://en.wikipedia.org/wiki/Maze_Runner:_The_Scorch_Trials#:~:text=Reception-,Box%20office,a%20budget%20of%20%2461%20million.",,not horror
Me Before You,208,1039%,10.4,20,56.2,27.1%,151.6,72.9%,207845075,2016,2010's,,,,not horror
Meet the Fockers,523,653%,6.5,80,279,53.4%,243,46.6%,522657936,2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=418,https://en.wikipedia.org/wiki/Meet_the_Fockers,,not horror
Meet the Parents,330,601%,6,55,166,50.3%,164,49.7%,330444045,2000,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=658,https://en.wikipedia.org/wiki/Meet_the_Parents,,not horror
Megamind,322,248%,2.5,130,148,46.1%,173,53.9%,321885765,2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=672,"https://en.wikipedia.org/wiki/Megamind#:~:text=With%20a%20budget%20of%20%24130,animated%20films%20of%20the%202010s.",,not horror
Men in Black,589,655%,6.5,90,251,42.5%,339,57.5%,589390539,1997,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=378,https://en.wikipedia.org/wiki/Men_in_Black_(1997_film),,not horror
Men in Black 3,654,291%,2.9,225,179,27.4%,475,72.6%,654213485,2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=352,https://en.wikipedia.org/wiki/Men_in_Black_3,,not horror
Men in Black II,445,318%,3.2,140,194,43.5%,251,56.5%,445135288,2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=477,"https://en.wikipedia.org/wiki/Men_in_Black_II#:~:text=Men%20in%20Black%20II%20was,in%20Black%3A%20International%20in%202019.",,not horror
Minions,1159,1567%,15.7,74,336,29.0%,823,71.0%,1159444662,2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=222,https://en.wikipedia.org/wiki/Minions_(film),,not horror
Minions: The Rise of Gru,939,1174%,11.7,80,370,39.3%,570,60.7%,939220210,2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=262,https://en.wikipedia.org/wiki/Minions:_The_Rise_of_Gru,,not horror
Minority Report,358,351%,3.5,102,132,36.8%,226,63.2%,358372926,2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=601,"https://en.wikipedia.org/wiki/Minority_Report_(film)#:~:text=Upon%20its%20release%2C%20the%20film,Initial%20reviews%20were%20generally%20positive.",,not horror
Mission: Impossible,458,572%,5.7,80,181,39.5%,277,60.5%,457696391,1996,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=467,https://en.wikipedia.org/wiki/Mission:_Impossible_(film_series),,not horror
Mission: Impossible - Fallout,792,445%,4.4,178,220,27.8%,571,72.2%,791657398,2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=298,https://en.wikipedia.org/wiki/Mission:_Impossible_%E2%80%93_Fallout,,not horror
Mission: Impossible - Ghost Protocol,695,479%,4.8,145,209,30.1%,485,69.9%,694713380,2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=336,https://en.wikipedia.org/wiki/Mission:_Impossible_%E2%80%93_Ghost_Protocol,,not horror
Mission: Impossible - Rogue Nation,683,455%,4.6,150,195,28.6%,488,71.4%,682716636,2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=339,https://en.wikipedia.org/wiki/Mission:_Impossible_%E2%80%93_Rogue_Nation,,not horror
Mission: Impossible II,546,437%,4.4,125,215,39.4%,331,60.6%,546388108,2000,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=398,https://en.wikipedia.org/wiki/Mission:_Impossible_2,,not horror
Mission: Impossible III,398,266%,2.7,150,134,33.6%,264,66.4%,398479497,2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=534,https://en.wikipedia.org/wiki/Mission:_Impossible_III,,not horror
Moana,660,377%,3.8,175,249,37.7%,412,62.3%,660349731,2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=347,https://en.wikipedia.org/wiki/Moana_(2016_film),,not horror
Mockingjay - Part 1,755,604%,6,125,337,44.6%,418,55.4%,755356711,2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=315,"https://en.wikipedia.org/wiki/The_Hunger_Games:_Mockingjay_%E2%80%93_Part_1#:~:text=The%20Hunger%20Games%3A%20Mockingjay%20%E2%80%93%20Part%201%20grossed%20%24337.1%20million%20in,including%20promotion%20and%20advertising%20costs).",,not horror
Mockingjay - Part 2,653,408%,4.1,160,282,43.1%,372,56.9%,653428261,2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=354,https://en.wikipedia.org/wiki/The_Hunger_Games:_Mockingjay_%E2%80%93_Part_2,,not horror
Monsters University,744,372%,3.7,200,268,36.1%,475,63.9%,743559645,2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=321,https://en.wikipedia.org/wiki/Monsters_University,,not horror
Monsters vs. Aliens,382,224%,2.2,170,198,52.0%,183,48.0%,381509870,2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=556,https://www.reuters.com/article/idINIndia-38768520090330,,not horror
"Monsters, Inc.",580,504%,5,115,291,50.1%,289,49.9%,579707738,2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=384,"https://en.wikipedia.org/wiki/Monsters,_Inc.",,not horror
Mr. & Mrs. Smith,487,443%,4.4,110,186,38.2%,301,61.8%,487287646,2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=437,https://en.wikipedia.org/wiki/Mr._%26_Mrs._Smith_(2005_film),,not horror
Mrs. Doubtfire,441,1765%,17.7,25,219,49.7%,222,50.3%,441286195,1993,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=483,"https://en.wikipedia.org/wiki/Mrs._Doubtfire#:~:text=Robin%20Williams%20was%20awarded%20the,highest%2Dgrossing%20film%20of%201993.",,not horror
Murder on the Orient Express,353,641%,6.4,55,103,29.2%,250,70.8%,352794081,2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=613,"https://en.wikipedia.org/wiki/Murder_on_the_Orient_Express_(2017_film)#:~:text=Reception-,Box%20office,production%20budget%20of%20%2455%20million.",,not horror
My Big Fat Greek Wedding,369,7375%,73.7,5,241,65.5%,127,34.5%,368744044,2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=581,"https://en.wikipedia.org/wiki/My_Big_Fat_Greek_Wedding#:~:text=Despite%20never%20hitting%20the%20number,films%20of%20the%2021st%20century.",,not horror
National Treasure,348,348%,3.5,100,173,49.8%,175,50.2%,347512318,2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=629,https://en.wikipedia.org/wiki/National_Treasure_(film),,not horror
National Treasure: Book of Secrets,459,353%,3.5,130,220,47.9%,239,52.1%,459242249,2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=466,"https://en.wikipedia.org/wiki/National_Treasure:_Book_of_Secrets#:~:text=The%20film%20grossed%20%24220%20million,grossing%20film%20in%20the%20series.",,not horror
Neighbors,268,1490%,14.9,18,150.2,56.0%,118,44.0%,268157400,2014,2010's,,,,not horror
Night at the Museum,574,522%,5.2,110,251,43.7%,324,56.3%,574481229,2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=386,https://www.imdb.com/title/tt0477347/,,not horror
Night at the Museum: Battle of the Smithsonian,413,275%,2.8,150,177,42.9%,236,57.1%,413106170,2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=511,"https://en.wikipedia.org/wiki/Night_at_the_Museum:_Battle_of_the_Smithsonian#:~:text=The%20film%20was%20released%20theatrically,on%20a%20%24150%20million%20budget.",,not horror
Night at the Museum: Secret of the Tomb,363,286%,2.9,127,114,31.3%,249,68.7%,363204635,2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=590,"https://en.wikipedia.org/wiki/Night_at_the_Museum:_Secret_of_the_Tomb#:~:text=Night%20at%20the%20Museum%3A%20Secret%20of%20the%20Tomb%20grossed%20%24113.7,a%20budget%20of%20%24127%20million.",,not horror
No Escape,54,12074%,120.7,0.45,27.2,50.1%,27.1,49.9%,54333371,2015,2010's,,,,not horror
No Time to Die,774,310%,3.1,250,161,20.8%,613,79.2%,774153007,2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=306,https://variety.com/2021/film/news/no-time-to-die-highest-grossing-movie-losing-money-blockbusters-1235111919/,,not horror
Noah,359,287%,2.9,125,101,28.2%,258,71.8%,359200044,2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=597,"https://www.csmonitor.com/USA/Society/2014/0331/Noah-not-all-believers-hate-big-budget-biblical-blockbuster#:~:text=%E2%80%9CNoah%2C%E2%80%9D%20with%20its%20%24125,of%20the%20ancient%20biblical%20tale.",,not horror
Notting Hill,364,866%,8.7,42,116,31.9%,248,68.1%,363889678,1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=588,https://en.wikipedia.org/wiki/Notting_Hill_(film),,not horror
Now You See Me,352,469%,4.7,75,118,33.5%,234,66.5%,351723989,2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=618,https://en.wikipedia.org/wiki/Now_You_See_Me_(film),,not horror
Now You See Me 2,335,279%,2.8,120,65,19.4%,270,80.6%,334897606,2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=649,https://en.wikipedia.org/wiki/Now_You_See_Me_2,,not horror
Ocean's Eleven,451,530%,5.3,85,183,40.7%,267,59.3%,450717150,2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=472,https://en.wikipedia.org/wiki/Ocean%27s_Eleven,,not horror
Ocean's Thirteen,311,366%,3.7,85,117,37.6%,194,62.4%,311312624,2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=696,https://www.imdb.com/title/tt0496806/,,not horror
Ocean's Twelve,363,330%,3.3,110,126,34.6%,237,65.4%,362744280,2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=591,https://en.wikipedia.org/wiki/Ocean%27s_Twelve,,not horror
Once Upon a Time in Hollywood,378,393%,3.9,96,143,37.7%,235,62.3%,377617598,2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=562,https://en.wikipedia.org/wiki/Once_Upon_a_Time_in_Hollywood,,not horror
Ouija,103,2051%,20.5,5,50.9,49.6%,51.7,50.4%,102529779,2014,2010's,,,,horror
Over the Hedge,340,425%,4.2,80,155,45.6%,185,54.4%,339795890,2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=641,"https://en.wikipedia.org/wiki/Over_the_Hedge_(film)#:~:text=Over%20the%20Hedge%20was%20released,on%20an%20%2480%20million%20budget.",,not horror
Oz the Great and Powerful,493,247%,2.5,200,235,47.6%,258,52.4%,493311825,2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=432,https://en.wikipedia.org/wiki/Oz_the_Great_and_Powerful,,not horror
Pacific Rim,411,206%,2.1,200,102,24.8%,309,75.2%,411002906,2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=514,https://en.wikipedia.org/wiki/Pacific_Rim_(film),,not horror
Paranormal Activity ,194,1293333%,12933.3,0.015,107.9,55.6%,85.4,44.0%,193360000,2009,2000's,,,,horror
Paranormal Activity 2,177,5900%,59,3,84.8,47.9%,92.8,52.4%,177510000,2010,2010's,,,,horror
Paranormal Activity 3,207,4140%,41.4,5,104,50.3%,52.6,25.4%,156600000,2011,2010's,,,,horror
Paranormal Activity 4,142,2857%,28.6,5,53.9,38.0%,88.9,62.6%,142838957,2012,2010's,,,,horror
Paranormal Activity: The Marked Ones,91,1818%,18.2,5,32.5,35.7%,58.4,64.3%,90904854,2014,2010's,,,,horror
Parasite,117.3,1066%,10.7,11,18.3,15.6%,99,84.4%,117305012,2019,2010's,,,,not horror
Pearl Harbor,449,321%,3.2,140,199,44.2%,251,55.8%,449220945,2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=475,https://en.wikipedia.org/wiki/Pearl_Harbor_(film),,not horror
Penguins of Madagascar,374,283%,2.8,132,84,22.4%,290,77.6%,373515621,2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=569,https://en.wikipedia.org/wiki/Penguins_of_Madagascar,,not horror
Peter Rabbit,351,703%,7,50,115,32.8%,236,67.2%,351496066,2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=621,"https://en.wikipedia.org/wiki/Peter_Rabbit_(film)#:~:text=Peter%20Rabbit%20was%20released%20in,on%20a%20%2450%20million%20budget.",,not horror
Pirates of the Caribbean: At World's End,961,320%,3.2,300,309,32.2%,652,67.8%,960996492,2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=256,https://www.google.com/search?q=pirate+caribbean+worlds+end+budget&ei=DJ-MY7izG86P8gKKzpJQ&ved=0ahUKEwi46Y6vh-D7AhXOh1wKHQqnBAoQ4dUDCA8&uact=5&oq=pirate+caribbean+worlds+end+budget&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIHCCEQoAEQCjIICCEQFhAeEB06CggAEEcQ1gQQsAM6BggAEBYQHjoICAAQFhAeEAo6BQgAEIYDSgQIQRgASgQIRhgAUPcBWJwHYKUJaAFwAXgAgAFziAHcBJIBAzYuMZgBAKABAcgBCMABAQ&sclient=gws-wiz-serp,,not horror
Pirates of the Caribbean: Dead Man's Chest,1066,474%,4.7,225,423,39.7%,643,60.3%,1066179747,2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=237,https://en.wikipedia.org/wiki/Pirates_of_the_Caribbean:_Dead_Man%27s_Chest,,not horror
Pirates of the Caribbean: Dead Men Tell No Tales,795,346%,3.5,230,173,21.7%,622,78.3%,794881442,2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=296,"https://en.wikipedia.org/wiki/Pirates_of_the_Caribbean:_Dead_Men_Tell_No_Tales#:~:text=Dead%20Men%20Tell%20No%20Tales%20premiered%20in%20Shanghai%20on%20May,production%20budget%20between%20%24230%20million.",,not horror
Pirates of the Caribbean: On Stranger Tides,1046,276%,2.8,379,241,23.0%,805,77.0%,1045713802,2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=241,https://en.wikipedia.org/wiki/Pirates_of_the_Caribbean:_On_Stranger_Tides,,not horror
Pirates of the Caribbean: The Curse of the Black Pearl,654,467%,4.7,140,305,46.7%,349,53.3%,654264015,2003,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=351,https://en.wikipedia.org/wiki/Pirates_of_the_Caribbean:_The_Curse_of_the_Black_Pearl,,not horror
Planet of the Apes,362,362%,3.6,100,180,49.7%,182,50.3%,362211740,2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=592,https://en.wikipedia.org/wiki/Planet_of_the_Apes_(2001_film),,not horror
Pocahontas,346,629%,6.3,55,142,40.9%,205,59.1%,346079773,1995,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=633,https://en.wikipedia.org/wiki/Pocahontas_(1995_film),,not horror
Pokémon Detective Pikachu,433,289%,2.9,150,144,33.3%,289,66.7%,433230304,2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=489,https://en.wikipedia.org/wiki/Detective_Pikachu_(film),,not horror
Pretty Woman,463,3310%,33.1,14,178,38.5%,285,61.5%,463406268,1990,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=462,https://en.wikipedia.org/wiki/Pretty_Woman,,not horror
Prince Caspian,420,187%,1.9,225,142,33.8%,278,66.2%,419665568,2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=503,https://en.wikipedia.org/wiki/The_Chronicles_of_Narnia:_Prince_Caspian,,not horror
Prince of Persia: The Sands of Time,336,182%,1.8,185,91,27.0%,246,73.0%,336365676,2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=644,"https://en.wikipedia.org/wiki/Prince_of_Persia:_The_Sands_of_Time_(film)#:~:text=It%20grossed%20over%20%24336.4%20million,surpassed%20by%20Warcraft%20in%202016.",,not horror
Prometheus,403,310%,3.1,130,126,31.4%,277,68.6%,403354469,2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=526,https://en.wikipedia.org/wiki/Prometheus_(2012_film),,horror
Puss in Boots,555,427%,4.3,130,149,26.9%,406,73.1%,554987477,2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=392,"https://edition.cnn.com/2011/10/31/showbiz/movies/puss-in-boots-box-office-ew/index.html#:~:text=%E2%80%9CPuss%20in%20Boots%E2%80%9D%20cost%20%24130,million%20and%20%2417.2%20million%2C%20respectively.",,not horror
Quantum of Solace,590,268%,2.7,220,168,28.6%,421,71.4%,589580482,2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=377,https://en.wikipedia.org/wiki/Quantum_of_Solace,,not horror
Raiders of the Lost Ark,390,1950%,19.5,20,248,63.6%,142,36.4%,389925971,1981,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=541,https://en.wikipedia.org/wiki/Raiders_of_the_Lost_Ark,,not horror
Rain Man,355,1419%,14.2,25,173,48.7%,182,51.3%,354825435,1988,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=608,https://en.wikipedia.org/wiki/Rain_Man,,not horror
Ralph Breaks the Internet,529,302%,3,175,201,38.0%,328,62.0%,529323962,2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=411,"https://en.wikipedia.org/wiki/Ralph_Breaks_the_Internet#:~:text=Ralph%20Breaks%20the%20Internet%20grossed,production%20budget%20of%20%24175%20million.",,not horror
Rampage,428,357%,3.6,120,101,23.6%,327,76.4%,428028233,2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=494,,,not horror
Ransom,309,442%,4.4,70,136,44.1%,173,55.9%,309492681,1996,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=699,https://en.wikipedia.org/wiki/Ransom_(1996_film),,not horror
Ratatouille,624,416%,4.2,150,206,33.1%,417,66.9%,623726085,2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=364,https://en.wikipedia.org/wiki/Ratatouille_(film),,not horror
Ready Player One,583,333%,3.3,175,138,23.6%,445,76.4%,582918849,2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=383,https://en.wikipedia.org/wiki/Ready_Player_One_(film),,not horror
Resident Evil: The Final Chapter,312,781%,7.8,40,27,8.6%,285,91.4%,312242626,2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=693,"https://en.wikipedia.org/wiki/Resident_Evil:_The_Final_Chapter#:~:text=The%20film%20received%20mixed%20reviews,against%20a%20%2440%20million%20budget.",,horror
Return of the Jedi,475,1105%,11,43,309,65.1%,166,34.9%,475106177,1983,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=447,https://en.wikipedia.org/wiki/Return_of_the_Jedi,YES,not horror
Revenge of the Sith,868,768%,7.7,113,380,43.8%,488,56.2%,868390560,2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=278,https://en.wikipedia.org/wiki/Star_Wars:_Episode_III_%E2%80%93_Revenge_of_the_Sith,,not horror
Rio,484,538%,5.4,90,144,29.7%,340,70.3%,483866518,2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=441,https://en.wikipedia.org/wiki/Rio_(2011_film),,not horror
Rio 2,499,384%,3.8,130,132,26.4%,367,73.6%,498781117,2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=427,https://en.wikipedia.org/wiki/Rio_2,,not horror
Rise of the Planet of the Apes,482,518%,5.2,93,177,36.7%,305,63.3%,481800873,2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=443,https://en.wikipedia.org/wiki/Rise_of_the_Planet_of_the_Apes,,not horror
Robin Hood,322,162%,1.6,198,105,32.7%,216,67.3%,321669741,2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=676,https://bombreport.com/yearly-breakdowns/2010-2/robin-hood-2010/,,not horror
Robin Hood: Prince of Thieves,390,814%,8.1,48,165,42.4%,225,57.6%,390493908,1991,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=540,https://www.imdb.com/title/tt0102798/,,not horror
Rogue One,1059,385%,3.8,275,534,50.4%,525,49.6%,1058682142,2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=239,"https://collider.com/rogue-one-star-wars-story-imax-re-release-top-ten-all-time/#:~:text=Thanks%20to%20a%20budget%20that,essentially%20derailing%20the%20entire%20franchise.",,not horror
Rush Hour 2,347,386%,3.9,90,226,65.1%,121,34.9%,347325802,2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=630,https://en.wikipedia.org/wiki/Rush_Hour_2,,not horror
San Andreas,474,431%,4.3,110,155,32.7%,319,67.3%,474009154,2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=450,https://en.wikipedia.org/wiki/San_Andreas_(film),,not horror
Saving Private Ryan,482,689%,6.9,70,217,45.0%,265,55.0%,482349603,1998,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=442,https://en.wikipedia.org/wiki/Saving_Private_Ryan,,not horror
Saw IV,139,1394%,13.9,10,63.3,45.4%,76.1,54.6%,139352633,2007,2000's,,,,horror
Saw V,114,1054%,10.5,10.8,56.8,49.8%,57.1,50.2%,113870000,2008,2000's,,,,horror
Schindler's List,322,1464%,14.6,22,97,30.1%,225,69.9%,322161245,1993,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=671,https://en.wikipedia.org/wiki/Schindler%27s_List,,not horror
Se7en,327,1091%,10.9,30,100,30.6%,227,69.4%,327333559,1995,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=665,"https://en.wikipedia.org/wiki/Seven_(1995_film)#:~:text=Seven%20was%20budgeted%20at%20%2430,expensive%20film%20at%20that%20point.",,not horror
Searching,75,7538%,75.4,1,26,34.5%,49.4,65.5%,75383741,2018,2010's,,,,not horror
Semi-Pro,44,1688%,16.9,2.6,33.5,76.3%,10.4,23.7%,43890000,2008,2000's,,,,not horror
Sex and the City,419,644%,6.4,65,153,36.4%,266,63.6%,418765519,2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=504,"https://en.wikipedia.org/wiki/Sex_and_the_City_(film)#:~:text=Despite%20mixed%20reviews%20from%20critics,from%20a%20%2465%20million%20budget.",,not horror
Shang-Chi,432,288%,2.9,150,225,52.0%,208,48.0%,432243292,2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=490,https://screenrant.com/shang-chi-movie-budget-cost-mcu-comparison/,,not horror
Shark Tale,375,499%,5,75,161,42.9%,214,57.1%,374583879,2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=565,"https://en.wikipedia.org/wiki/Shark_Tale#:~:text=Shark%20Tale%20premiered%20at%20the,highest%2Dgrossing%20film%20of%202004.",,not horror
